-53.71124268,-97.55102992
-38.76646042,105.19432783
77.20149994,-62.87124217
-80.44710159,-20.62395573
-18.6831665,-4.73836899
101.55612946,-84.7581321
39.53407288,97.40834713
-41.41204834,-131.30832016
-1.64754868,130.83429337
7.10666656,-148.83255422
23.44413757,-166.30538642
44.80270386,-95.58549643
-6.76431656,95.89767337
31.48956299,-45.31931162
82.91770935,-75.6784308
-75.95924377,-2.48096824
-8.83020401,-11.57056689
9.4893837,-19.30418015
-46.9997406,65.14909744
-29.67315674,-23.88554335
22.48306274,0.45849681
